"1,24.7050534161"
"3,24.2410580467"
"10,15.1749156206"
"9,25.9725669442"
"0,94.8257806358"
"8,64.1161621833"
"11,44.3294099409"
"13,44.0007534125"
"12,55.1691582391"
"14,59.7876949962"
"16,22.1874273063"
"15,35.2262097509"
"19,13.4243327795"
"18,30.7878334572"
"20,12.3179463483"
"21,21.7994585042"
"24,16.1724691976"
"25,12.6113030693"
"26,21.2670330291"
"22,60.3055617152"
"27,25.4668621729"
"28,10.230276138"
"29,23.279419665"
"30,21.9419706196"
"32,63.8616727509"
"33,70.6574687709"
"35,66.3814652428"
"34,85.1912188249"
"36,73.2553357539"
"37,76.6947202905"
"40,67.6702973402"
"39,78.3302153013"
"41,77.153756797"
"42,83.3402964118"
"45,78.278105975"
"48,80.4711906546"
"47,90.562621145"
"49,91.9601750263"
"50,85.9806276728"
"53,88.1802873941"
"54,96.0678509978"
"51,112.550652065"
"58,69.8034553897"
"57,80.1882830016"
"60,67.2205307008"
"59,98.6840531206"
"62,82.143032982"
"64,66.6516849715"
"63,81.0152852251"
"65,68.4101108758"
"66,74.2191003507"
"68,67.2946450087"
"69,73.1048200956"
"67,94.3534821613"
"70,83.370647745"
"72,89.8324579124"
"74,81.3565198258"
"73,106.796385462"
"77,69.0247924619"
"78,74.4242988769"
"76,96.1107068056"
"80,67.6408898736"
"79,109.852532677"
"92,24.7630481185"
"81,89.9599190474"
"88,78.0731703012"
"89,84.6781400565"
"82,119.103618935"
"96,65.3579562166"
"90,107.026967444"
"91,95.4012851554"
"93,103.30253331"
"98,40.1566746646"
"99,47.4425490663"
"97,72.4847906206"
